source_name	source_id	source_date	type_ordre	sexe	nom	prenom	nom_complet	objet (données brutes)	a_sa_demande	ambassadeur	ambassadeur_pays	ambassadeur_thematique	autres_prenoms	cabinet	cabinet_ministeriel	conseil_administration	conseil_des_ministres	conseiller_affaire_etrangeres	corps	cour_comptes	date_debut	date_fin	depart_retraite	duree	nom_alternatif
JORF	JORFTEXT000042383456	2020-10-01	nomination	M	Heuls	Jacques-Henry	Jacques-Henry HEULS	ambassadeur extraordinaire et plénipotentiaire de la République française à Sainte-Lucie		oui	Sainte-Lucie						oui								
JORF	JORFTEXT000042365087	2020-09-26	nomination	M	Parant	André	André PARANT	ambassadeur extraordinaire et plénipotentiaire de la République française auprès de la République tunisienne		oui	Tunisie						oui								
JORF	JORFTEXT000042357700	2020-09-24	nomination	M	Guerend	Vincent	Vincent GUEREND	ambassadeur extraordinaire et plénipotentiaire de la République française en Irlande		oui	Irlande						oui								
JORF	JORFTEXT000042349427	2020-09-22	nomination	F	Toudic	Christine	Christine TOUDIC	ambassadrice extraordinaire et plénipotentiaire de la République française en Bosnie-Herzégovine		oui	Bosnie-Herzégovine						oui								
JORF	JORFTEXT000042344160	2020-09-19	nomination	F	Auer	Laurence	Laurence AUER	ambassadrice extraordinaire et plénipotentiaire de la République française en Roumanie		oui	Roumanie						oui								
JORF	JORFTEXT000042344157	2020-09-19	nomination	M	Safa	Jean-Marie	Jean-Marie SAFA	ambassadeur extraordinaire et plénipotentiaire de la République française auprès de la République du Yémen		oui	Yémen						oui								
JORF	JORFTEXT000042344154	2020-09-19	nomination	M	Tarran	Michel	Michel TARRAN	ambassadeur extraordinaire et plénipotentiaire de la République française auprès de la République du Tadjikistan		oui	Tadjikistan						oui								
JORF	JORFTEXT000042334793	2020-09-17	nomination	M	Penot	Christophe	Christophe PENOT	ambassadeur chargé de l'Indo-Pacifique		oui		oui					oui				2020-10-15				
JORF	JORFTEXT000042334782	2020-09-17	nomination	M	Thebault	Jean-Pierre	Jean-Pierre THEBAULT	ambassadeur extraordinaire et plénipotentiaire de la République française auprès du Commonwealth d'Australie		oui	Australie						oui								
JORF	JORFTEXT000042334779	2020-09-17	nomination	F	Ramis	Michèle	Michèle RAMIS	ambassadrice extraordinaire et plénipotentiaire de la République française auprès de la République de Colombie		oui	Colombie						oui								
JORF	JORFTEXT000042331431	2020-09-16	nomination	M	Canesse	Didier	Didier CANESSE	ambassadeur extraordinaire et plénipotentiaire de la République française auprès de la République du Kazakhstan		oui	Kazakhstan						oui								
JORF	JORFTEXT000042331428	2020-09-16	nomination	M	De Bouillane de Lacoste	Nicolas	Nicolas DE BOUILLANE DE LACOSTE	ambassadeur extraordinaire et plénipotentiaire de la République française auprès de la République de Biélorussie		oui	Biélorussie						oui								
JORF	JORFTEXT000042329000	2020-09-15	nomination	M	Pouille	Ludovic	Ludovic POUILLE	ambassadeur extraordinaire et plénipotentiaire de la République française auprès du Royaume d'Arabie saoudite		oui	Arabie Saoudite						oui								
JORF	JORFTEXT000042326324	2020-09-13	nomination	F	Cukierman	Agnès	Agnès CUKIERMAN	ambassadrice extraordinaire et plénipotentiaire de la République française auprès de la République de Finlande		oui	Finlande						oui								
JORF	JORFTEXT000042326321	2020-09-13	nomination	M	Cocher	Emmanuel	Emmanuel COCHER	ambassadeur extraordinaire et plénipotentiaire de la République française auprès de la République du Paraguay		oui	Paraguay						oui								
JORF	JORFTEXT000042325591	2020-09-12	nomination	M	Pecout	Gilles	Gilles PECOUT	ambassadeur extraordinaire et plénipotentiaire de la République française auprès de la République d'Autriche		oui	Autriche						oui								
JORF	JORFTEXT000042325588	2020-09-12	nomination	F	Caballero	Jocelyne	Jocelyne CABALLERO	ambassadrice extraordinaire et plénipotentiaire de la République française auprès de la République togolaise		oui	Togo						oui								
JORF	JORFTEXT000042325585	2020-09-12	nomination	M	Giacomini	Marc	Marc GIACOMINI	ambassadeur extraordinaire et plénipotentiaire de la République française auprès de la République du Pérou		oui	Pérou						oui								
JORF	JORFTEXT000042325582	2020-09-12	nomination	M	Asvazadourian	Jean-Pierre	Jean-Pierre ASVAZADOURIAN	ambassadeur extraordinaire et plénipotentiaire de la République française auprès des Etats-Unis du Mexique		oui	Mexique						oui								
JORF	JORFTEXT000042325579	2020-09-12	nomination	M	Vizy	Marc	Marc VIZY	ambassadeur extraordinaire et plénipotentiaire de la République française auprès de la République du Bénin		oui	Bénin						oui								
JORF	JORFTEXT000042325576	2020-09-12	nomination	M	De Sury D'aspremont	Arnaud	Arnaud DE SURY D'ASPREMONT	ambassadeur extraordinaire et plénipotentiaire de la République française auprès de la République du Panama		oui	Panama						oui								
JORF	JORFTEXT000042325573	2020-09-12	nomination	F	Legendre	Anne-Claire	Anne-Claire LEGENDRE	ambassadrice extraordinaire et plénipotentiaire de la République française auprès de l'Etat du Koweït		oui	Koweït						oui								
JORF	JORFTEXT000042325570	2020-09-12	nomination	M	Chatel de Brancion	Xavier	Xavier CHATEL DE BRANCION	ambassadeur extraordinaire et plénipotentiaire de la République française aux Emirats arabes unis		oui		oui					oui								
JORF	JORFTEXT000042325567	2020-09-12	nomination	F	Guisnel	Isabelle	Isabelle GUISNEL	ambassadrice extraordinaire et plénipotentiaire de la République française au Turkménistan		oui	Turkménistan						oui								
JORF	JORFTEXT000042325564	2020-09-12	nomination	M	Chevallier	Laurent	Laurent CHEVALLIER	ambassadeur extraordinaire et plénipotentiaire de la République française auprès de la République du Zimbabwe		oui	Zimbabwe						oui								
JORF	JORFTEXT000042322925	2020-09-11	nomination	M	Fournier	Eric	Eric FOURNIER	ambassadeur extraordinaire et plénipotentiaire de la République française auprès de la République dominicaine		oui	Dominique						oui								
JORF	JORFTEXT000042322922	2020-09-11	nomination	F	Grillo	Anne	Anne GRILLO	ambassadrice extraordinaire et plénipotentiaire de la République française auprès de la République libanaise		oui	Liban						oui								
JORF	JORFTEXT000042320120	2020-09-10	nomination	M	Lapeyre de Cabanes	Xavier	Xavier LAPEYRE DE CABANES	ambassadeur, secrétaire général de la présidence française du Conseil de l'Union européenne		oui		oui					oui				2020-09-10				
JORF	JORFTEXT000042311363	2020-09-06	nomination	M	Pont	Brieuc	Brieuc PONT	ambassadeur extraordinaire et plénipotentiaire de la République française auprès de la République du Nicaragua		oui	Nicaragua						oui								
JORF	JORFTEXT000042311360	2020-09-06	nomination	F	Soret	Muriel	Muriel SORET	ambassadrice extraordinaire et plénipotentiaire de la République française auprès de l'Etat d'Érythrée		oui	Érythrée						oui								
JORF	JORFTEXT000042310522	2020-09-05	nomination	M	Grosgurin	Jean-Marc	Jean-Marc GROSGURIN	ambassadeur, haut représentant de la République française auprès de la République centrafricaine		oui	Centrafrique						oui								
JORF	JORFTEXT000042310519	2020-09-05	nomination	M	Gouyette	François	François GOUYETTE	ambassadeur, haut représentant de la République française auprès de la République algérienne démocratique populaire		oui	Algérie						oui								
JORF	JORFTEXT000042310516	2020-09-05	nomination	M	Tribolet	Jean-Claude	Jean-Claude TRIBOLET	ambassadeur extraordinaire et plénipotentiaire de la République française auprès de la Principauté d'Andorre		oui	Andorre						oui								
JORF	JORFTEXT000042308572	2020-09-04	nomination	M	Duquesne	Pierre	Pierre DUQUESNE	ambassadeur, chargé de la coordination du soutien international au Liban		oui		oui					oui								
JORF	JORFTEXT000042297332	2020-09-02	nomination	M	Le Harivel de Gonneville	Etienne	Etienne LE HARIVEL DE GONNEVILLE	ambassadeur extraordinaire et plénipotentiaire de la République française auprès du Royaume de Suède		oui	Suède						oui								
JORF	JORFTEXT000042297329	2020-09-02	nomination	M	Minot	Sébastien	Sébastien MINOT	ambassadeur extraordinaire et plénipotentiaire de la République française auprès de la République de Namibie		oui	Namibie						oui								
JORF	JORFTEXT000042297326	2020-09-02	nomination	F	Causse-Tissier	Florence	Florence CAUSSE-TISSIER	ambassadrice extraordinaire et plénipotentiaire de la République française auprès de la République de Maurice		oui	Maurice						oui								
JORF	JORFTEXT000042297323	2020-09-02	nomination	M	Wills	Terence	Terence WILLS	ambassadeur extraordinaire et plénipotentiaire de la République française auprès de la République de Guinée-Bissau		oui	Guinée-Bissau						oui								
JORF	JORFTEXT000042266870	2020-08-27	nomination	F	Pénicaud	Muriel	Muriel PÉNICAUD	ambassadrice, représentante permanente de la France auprès de l'Organisation de coopération et de développement économiques		oui		oui					oui				2020-09-28				
JORF	JORFTEXT000042241403	2020-08-18	nomination	M	Fonbaustier	Marc	Marc FONBAUSTIER	ambassadeur extraordinaire et plénipotentiaire de la République française auprès de la République de Guinée		oui	Guinée						oui								
JORF	JORFTEXT000042238514	2020-08-15	nomination	M	Marechaux	Rémi	Rémi MARECHAUX	ambassadeur extraordinaire et plénipotentiaire de la République française auprès de la République démocratique fédérale d'Ethiopie		oui	Éthiopie						oui								
JORF	JORFTEXT000042170860	2020-07-30	nomination	M	Pic	Laurent	Laurent PIC	ambassadeur, représentant permanent auprès de l'Organisation de l'aviation civile internationale à Montréal		oui		oui					oui				2020-09-01				
JORF	JORFTEXT000042170857	2020-07-30	nomination	F	Fontanel	Marie	Marie FONTANEL	ambassadrice, représentante permanente de la France auprès du Conseil de l'Europe à Strasbourg		oui		oui					oui				2020-08-17				
JORF	JORFTEXT000042170854	2020-07-30	nomination	M	Amellal	Karim	Karim AMELLAL	ambassadeur, délégué interministériel à la Méditerranée		oui		oui					oui								
JORF	JORFTEXT000042170851	2020-07-30	nomination	F	Jurgensen	Céline	Céline JURGENSEN	ambassadrice, représentante permanente de la France auprès de l'Organisation des Nations unies pour l'alimentation et l'agriculture ainsi que des autres institutions internationales ayant compétence pour l'alimentation et l'agriculture dont le siège est à Rome		oui		oui					oui				2020-08-10				
JORF	JORFTEXT000042066969	2020-07-01	nomination	M	Fournier	Pierre	Pierre Fournier	ambassadeur extraordinaire et plénipotentiaire de la République française auprès des îles Salomon;en résidence à Port-Vila		oui	Îles Salomon						oui								
JORF	JORFTEXT000041850112	2020-05-06	nomination	F	Royet-Gounin	Aurélie	Aurélie Royet-Gounin	ambassadrice extraordinaire et plénipotentiaire de la République française auprès de la République de Lettonie		oui	Lettonie						oui								
JORF	JORFTEXT000041810820	2020-04-21	nomination	M	Magro	Hervé	Hervé Magro	ambassadeur extraordinaire et plénipotentiaire de la République française auprès de la République de Turquie		oui	Turquie						oui								
JORF	JORFTEXT000041810817	2020-04-21	nomination	F	Collet	Brigitte	Brigitte COLLET	ambassadrice extraordinaire et plénipotentiaire de la République française auprès de la République fédérative du Brésil		oui	Brésil						oui								
JORF	JORFTEXT000041697291	2020-03-07	nomination	M	Izzo	David	David Izzo	ambassadeur extraordinaire et plénipotentiaire de la République française auprès du Royaume d'Eswatini;en résidence à Maputo		oui	Eswatini						oui								
JORF	JORFTEXT000041567511	2020-02-13	cessation de fonction	M	Mattei	Jean-Baptiste	Jean-Baptiste MATTEI	ambassadeur, représentant permanent de la France auprès du Conseil de l'Europe à Strasbourg		oui		oui					oui				2020-03-23				
JORF	JORFTEXT000041484877	2020-01-28	nomination	M	Chambard	Olivier	Olivier CHAMBARD	ambassadeur extraordinaire et plénipotentiaire de la République française auprès de la République démocratique du Timor oriental;en résidence à Jakarta		oui	Timor oriental						oui								
JORF	JORFTEXT000041477909	2020-01-25	cessation de fonction	F	Royal	Ségolène	Ségolène ROYAL	ambassadrice, chargée de la négociation internationale pour les pôles Arctique et Antarctique		oui		oui					oui								
JORF	JORFTEXT000039799314	2020-01-09	nomination	M	Lalliot	Philippe	Philippe Lalliot	ambassadeur extraordinaire et plénipotentiaire de la République française auprès de la République de Gambie;en résidence à Dakar		oui	Gambie						oui								
JORF	JORFTEXT000039780645	2020-01-07	nomination	M	Lechevallier	Aurélien	Aurélien Lechevallier	ambassadeur extraordinaire et plénipotentiaire de la République française auprès du Royaume du Lesotho;en résidence à Pretoria		oui	Lesotho						oui								
JORF	JORFTEXT000039780642	2020-01-07	nomination	M	Levy	Pierre	Pierre LEVY	ambassadeur extraordinaire et plénipotentiaire de la République française auprès de la Fédération de Russie		oui	Russie						oui								
JORF	JORFTEXT000039645989	2019-12-20	nomination	M	Journes	Frédéric	Frédéric JOURNES	ambassadeur extraordinaire et plénipotentiaire de la République française auprès de la Principauté du Liechtenstein;en résidence à Berne		oui	Liechtenstein						oui								
JORF	JORFTEXT000039403125	2019-11-21	nomination	F	De Carné de Trécesson de Coëtlogon	Marine	Marine de CARNÉ de TRÉCESSON de COËTLOGON	ambassadrice, représentante permanente de la France auprès de la communauté du Pacifique et du Programme régional océanien de l'environnement		oui		oui					oui				2019-12-15				
JORF	JORFTEXT000039248813	2019-10-22	nomination	M	Escure	Marcel	Marcel ESCURE	ambassadeur, délégué à la coopération régionale dans la zone de l'océan Indien		oui		oui					oui								
JORF	JORFTEXT000039120552	2019-09-21	nomination	M	Cauchard	Jérôme	Jérôme CAUCHARD	ambassadeur extraordinaire et plénipotentiaire de la République française auprès du Royaume de Bahreïn		oui	Bahreïn						oui								
JORF	JORFTEXT000039106317	2019-09-18	nomination	M	Chambard	Olivier	Olivier CHAMBARD	ambassadeur extraordinaire et plénipotentiaire de la République française auprès de la République d'Indonésie		oui	Indonésie						oui								
JORF	JORFTEXT000039075069	2019-09-11	nomination	M	Cochery	Bertrand	Bertrand COCHERY	ambassadeur extraordinaire et plénipotentiaire de la République française auprès de la République du Tchad		oui	Tchad						oui								
JORF	JORFTEXT000039075066	2019-09-11	nomination	M	Fitou	Jean-François	Jean-François FITOU	ambassadeur extraordinaire et plénipotentiaire de la République française auprès de la République des Fidji		oui	Fidji						oui								
JORF	JORFTEXT000039050879	2019-09-06	nomination	F	Robine	Florence	Florence Robine	ambassadrice extraordinaire et plénipotentiaire de la République française auprès de la République de Bulgarie		oui	Bulgarie						oui								
JORF	JORFTEXT000039034702	2019-09-05	nomination	M	Bili	Laurent	Laurent BILI	ambassadeur extraordinaire et plénipotentiaire de la République française auprès de la République populaire de Chine		oui	Chine						oui								
JORF	JORFTEXT000039005350	2019-09-01	nomination	M	Journès	Frédéric	Frédéric Journès	ambassadeur extraordinaire et plénipotentiaire de la République française auprès de la Confédération suisse		oui	Suisse						oui								
JORF	JORFTEXT000039005347	2019-09-01	nomination	M	Mas	Dominique	Dominique Mas	ambassadeur extraordinaire et plénipotentiaire de la République française auprès de la République des Seychelles		oui	Seychelles						oui								
JORF	JORFTEXT000039005344	2019-09-01	nomination	M	Maisonnave	Patrick	Patrick Maisonnave	ambassadeur extraordinaire et plénipotentiaire de la République française auprès de la République hellénique		oui	Grèce						oui								
JORF	JORFTEXT000039005341	2019-09-01	nomination	M	Brochenin	Olivier	Olivier Brochenin	ambassadeur extraordinaire et plénipotentiaire de la République française auprès de la République de Guinée équatoriale		oui	Guinée équatoriale						oui								
JORF	JORFTEXT000038980765	2019-08-29	nomination	M	Lenain	Emmanuel	Emmanuel Lenain	ambassadeur extraordinaire et plénipotentiaire de la République française auprès de la République de l'Inde		oui	Inde						oui				2019-09-09				
JORF	JORFTEXT000038969257	2019-08-28	nomination	M	Serot Almeras Latour	Olivier	Olivier SEROT ALMERAS LATOUR	ambassadeur extraordinaire et plénipotentiaire de la République française auprès de la République du Cap-Vert		oui	Cap-Vert						oui								
JORF	JORFTEXT000038969254	2019-08-28	nomination	M	Pineda	Emmanuel	Emmanuel Pineda	ambassadeur extraordinaire et plénipotentiaire de la République française auprès de la République du Honduras		oui	Honduras						oui								
JORF	JORFTEXT000038969251	2019-08-28	nomination	M	Fournier	Pierre	Pierre Fournier	ambassadeur extraordinaire et plénipotentiaire de la République française auprès de la République du Vanuatu		oui	Vanuatu						oui								
JORF	JORFTEXT000038954917	2019-08-24	nomination	M	Billet	Frédéric	Frédéric BILLET	ambassadeur extraordinaire et plénipotentiaire de la République française auprès de la République de Pologne		oui	Pologne						oui								
JORF	JORFTEXT000038930646	2019-08-18	nomination	M	Falconi	Jean-Louis	Jean-Louis FALCONI	ambassadeur extraordinaire et plénipotentiaire de la République française auprès de la République de Serbie		oui	Serbie						oui								
JORF	JORFTEXT000038930643	2019-08-18	nomination	M	Gross	Zacharie	Zacharie GROSS	ambassadeur extraordinaire et plénipotentiaire de la République française auprès de la République d'Azerbaïdjan		oui	Azerbaïdjan						oui								
JORF	JORFTEXT000038919188	2019-08-14	nomination	F	Colonna	Catherine	Catherine Colonna	ambassadrice extraordinaire et plénipotentiaire de la République française auprès du Royaume-Uni de Grande-Bretagne et d'Irlande du Nord		oui	Royaume-Uni						oui								
JORF	JORFTEXT000038907016	2019-08-11	nomination	M	Izzo	David	David IZZO	ambassadeur extraordinaire et plénipotentiaire de la République française auprès de la République du Mozambique		oui	Mozambique						oui								
JORF	JORFTEXT000038907013	2019-08-11	nomination	M	Lamouroux	Eric	Eric LAMOUROUX	ambassadeur extraordinaire et plénipotentiaire de la République française auprès de la République d'Estonie		oui	Estonie						oui								
JORF	JORFTEXT000038907010	2019-08-11	nomination	M	Trouyet	Marc	Marc Trouyet	ambassadeur extraordinaire et plénipotentiaire de la République française auprès de la République du Soudan du Sud		oui	Soudan du Sud						oui								
JORF	JORFTEXT000038907007	2019-08-11	nomination	M	Lefort	Philippe	Philippe Lefort	ambassadeur extraordinaire et plénipotentiaire de la République française auprès de la République de Corée		oui	Corée du Sud						oui								
JORF	JORFTEXT000038895653	2019-08-08	nomination	M	Stefanini-Parry	Laurent	Laurent Stefanini-Parry	ambassadeur extraordinaire et plénipotentiaire de la République française auprès de la Principauté de Monaco		oui	Monaco						oui								
JORF	JORFTEXT000038827979	2019-07-27	admission	F	Bermann	Sylvie	BERMANN (Sylvie)	à faire valoir ses droits à la retraite;ambassadrice de France		oui		oui									2019-12-20		limite d'âge		
JORF	JORFTEXT000038822191	2019-07-26	nomination	M	De Montaigne de Poncins	Etienne	Etienne de MONTAIGNE de PONCINS	ambassadeur extraordinaire et plénipotentiaire de la République française auprès de l'Ukraine		oui	Ukraine						oui								
JORF	JORFTEXT000038822188	2019-07-26	nomination	M	Colas	Diego	Diego COLAS	ambassadeur extraordinaire et plénipotentiaire de la République française en Géorgie		oui	Géorgie						oui								
JORF	JORFTEXT000038822185	2019-07-26	nomination	M	Warnery	Nicolas	Nicolas WARNERY	ambassadeur extraordinaire et plénipotentiaire de la République française auprès de la République socialiste du Vietnam		oui	Vietnam						oui								
JORF	JORFTEXT000038822182	2019-07-26	nomination	F	Servoz-Gallucci	Isabelle	Isabelle SERVOZ-GALLUCCI	ambassadrice extraordinaire et plénipotentiaire de la République française auprès de la République d'Ouzbékistan		oui	Ouzbékistan						oui								
JORF	JORFTEXT000038742332	2019-07-10	nomination	M	Hallade	Luc	Luc Hallade	ambassadeur extraordinaire et plénipotentiaire de la République française au Burkina Faso		oui	Burkina Faso						oui								
JORF	JORFTEXT000038742329	2019-07-10	nomination	M	Guillois	Arnaud	Arnaud GUILLOIS	ambassadeur extraordinaire et plénipotentiaire de la République française auprès de la République de Djibouti		oui	Djibouti						oui								
JORF	JORFTEXT000038730460	2019-07-06	nomination	F	Dumont	Isabelle	Isabelle Dumont	ambassadrice extraordinaire et plénipotentiaire de la République française auprès de la République de Chypre		oui	Chypre						oui								
JORF	JORFTEXT000038726354	2019-07-05	nomination	M	Lechevallier	Aurélien	Aurélien LECHEVALLIER	ambassadeur extraordinaire et plénipotentiaire de la République française auprès de la République d'Afrique du Sud		oui	Afrique du Sud						oui								
JORF	JORFTEXT000038671335	2019-06-23	nomination	F	Beau	Laurence	Laurence BEAU	ambassadrice extraordinaire et plénipotentiaire de la République française auprès de la République du Botswana		oui	Botswana						oui								
JORF	JORFTEXT000038671332	2019-06-23	nomination	M	Guilhou	Christophe	Christophe GUILHOU	ambassadeur extraordinaire et plénipotentiaire de la République française auprès de la République du Cameroun		oui	Cameroun						oui								
JORF	JORFTEXT000038671329	2019-06-23	nomination	M	Schuh	Jean-Marin	Jean-Marin SCHUH	ambassadeur extraordinaire et plénipotentiaire de la République française auprès de la République populaire du Bangladesh		oui	Bangladesh						oui								
JORF	JORFTEXT000038671326	2019-06-23	nomination	M	Danon	Eric	Eric DANON	ambassadeur extraordinaire et plénipotentiaire de la République française auprès de l'Etat d'Israël		oui	Israël						oui								
JORF	JORFTEXT000038669669	2019-06-22	nomination	M	Vinogradoff	Philippe	Philippe VINOGRADOFF	ambassadeur extraordinaire et plénipotentiaire de la République française auprès de la République du Costa Rica		oui	Costa Rica						oui								
